[06-05-2023 00:47:48]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:48:01]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:48:03]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 5 getroffen, Schaden: 30
[06-05-2023 00:48:03]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:48:04]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:48:11]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:48:13]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:48:13]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:48:15]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:48:16]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:48:19]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:48:24]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 5 getroffen, Schaden: 30
[06-05-2023 00:48:26]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:48:30]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:48:31]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:48:33]: PlayasEmre hat Pusher30 mit Waffe 29 an Part 5 getroffen, Schaden: 8
[06-05-2023 00:48:33]: PlayasEmre hat Pusher30 mit Waffe 29 an Part 5 getroffen, Schaden: 8
[06-05-2023 00:48:33]: PlayasEmre hat Pusher30 mit Waffe 29 an Part 5 getroffen, Schaden: 8
[06-05-2023 00:48:33]: PlayasEmre hat Pusher30 mit Waffe 29 an Part 6 getroffen, Schaden: 8
[06-05-2023 00:48:33]: PlayasEmre hat Pusher30 mit Waffe 29 an Part 6 getroffen, Schaden: 8
[06-05-2023 00:48:40]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:48:40]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 5 getroffen, Schaden: 30
[06-05-2023 00:48:41]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:48:41]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:48:42]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 5 getroffen, Schaden: 30
[06-05-2023 00:48:43]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:48:51]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:48:52]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:48:55]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:48:59]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:48:59]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:49:01]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:49:02]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:49:03]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:49:03]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:49:05]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:49:06]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:49:07]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:49:12]: Pusher30 hat PlayasEmre mit Waffe 33 an Part 9 getroffen, Schaden: 20
[06-05-2023 00:49:13]: Pusher30 hat PlayasEmre mit Waffe 33 an Part 9 getroffen, Schaden: 20
[06-05-2023 00:49:14]: Pusher30 hat PlayasEmre mit Waffe 33 an Part 9 getroffen, Schaden: 20
[06-05-2023 00:49:16]: Pusher30 hat PlayasEmre mit Waffe 33 an Part 9 getroffen, Schaden: 20
[06-05-2023 00:49:17]: Pusher30 hat PlayasEmre mit Waffe 33 an Part 9 getroffen, Schaden: 20
[06-05-2023 00:49:18]: Pusher30 hat PlayasEmre mit Waffe 33 an Part 9 getroffen, Schaden: 20
[06-05-2023 00:49:19]: Pusher30 hat PlayasEmre mit Waffe 33 an Part 9 getroffen, Schaden: 20
[06-05-2023 00:49:20]: Pusher30 hat PlayasEmre mit Waffe 33 an Part 9 getroffen, Schaden: 20
[06-05-2023 00:49:21]: Pusher30 hat PlayasEmre mit Waffe 33 an Part 9 getroffen, Schaden: 20
[06-05-2023 00:49:23]: Pusher30 hat PlayasEmre mit Waffe 33 an Part 9 getroffen, Schaden: 20
